dataset,genome_id,functional_amr_hit_count,unique_amr_gene_count,amr_genes_present,amr_drug_classes,amr_drug_subclasses,exact_exactx_hit_count,blastx_hit_count,partialx_hit_count,other_hit_count,low_coverage_functional_hit_count,streptogramin_lincosamide_gene_count,streptogramin_lincosamide_genes,tetracycline_gene_count,tetracycline_genes,aminoglycoside_gene_count,aminoglycoside_genes,gentamicin_related_gene_count,gentamicin_related_genes,internal_stop_hit_count,internal_stop_genes
Bacteraemia,GCA_050505645.1.,9,1,GCA_050505645.1,AMINOGLYCOSIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,AMINOGLYCOSIDE; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE; TRIMETHOPRIM,7,1,1,0,0,1,GCA_050505645.1,1,GCA_050505645.1,1,GCA_050505645.1,0,,0,
Bacteraemia,GCA_050506665.1.,4,1,GCA_050506665.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,3,1,0,0,0,1,GCA_050506665.1,1,GCA_050506665.1,0,,0,,0,
Bacteraemia,GCA_050506675.1.,4,1,GCA_050506675.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE; TRIMETHOPRIM,3,1,0,0,0,1,GCA_050506675.1,1,GCA_050506675.1,0,,0,,0,
Bacteraemia,GCA_050506685.1.,7,1,GCA_050506685.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,6,1,0,0,0,1,GCA_050506685.1,1,GCA_050506685.1,0,,0,,0,
Bacteraemia,GCA_050506695.1.,7,1,GCA_050506695.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,5,1,1,0,0,1,GCA_050506695.1,1,GCA_050506695.1,0,,0,,0,
Bacteraemia,GCA_050506725.1.,6,1,GCA_050506725.1,BACITRACIN; LINCOSAMIDE/STREPTOGRAMIN,BACITRACIN; LINCOSAMIDE/STREPTOGRAMIN,2,4,0,0,0,1,GCA_050506725.1,0,,0,,0,,0,
Bacteraemia,GCA_050506735.1.,4,1,GCA_050506735.1,BACITRACIN; LINCOSAMIDE/STREPTOGRAMIN,BACITRACIN; LINCOSAMIDE/STREPTOGRAMIN,1,3,0,0,0,1,GCA_050506735.1,0,,0,,0,,0,
Bacteraemia,GCA_050506745.1.,20,1,GCA_050506745.1,AMINOGLYCOSIDE; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM; VANCOMYCIN,14,4,0,2,0,1,GCA_050506745.1,1,GCA_050506745.1,1,GCA_050506745.1,1,GCA_050506745.1,0,
Bacteraemia,GCA_050506755.1.,16,1,GCA_050506755.1,AMINOGLYCOSIDE; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; TRIMETHOPRIM; VANCOMYCIN,10,4,0,2,0,1,GCA_050506755.1,1,GCA_050506755.1,1,GCA_050506755.1,1,GCA_050506755.1,0,
Bacteraemia,GCA_050506765.1.,3,1,GCA_050506765.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,2,1,0,0,0,1,GCA_050506765.1,1,GCA_050506765.1,0,,0,,0,
Bacteraemia,GCA_050506775.1.,1,1,GCA_050506775.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,0,1,0,0,0,1,GCA_050506775.1,0,,0,,0,,0,
Bacteraemia,GCA_050506815.1.,8,1,GCA_050506815.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,5,1,2,0,0,1,GCA_050506815.1,1,GCA_050506815.1,1,GCA_050506815.1,1,GCA_050506815.1,0,
Bacteraemia,GCA_050506825.1.,2,1,GCA_050506825.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050506825.1,1,GCA_050506825.1,0,,0,,0,
Bacteraemia,GCA_050506865.1.,9,1,GCA_050506865.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,6,1,2,0,0,1,GCA_050506865.1,1,GCA_050506865.1,1,GCA_050506865.1,1,GCA_050506865.1,0,
Bacteraemia,GCA_050506875.1.,3,1,GCA_050506875.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TRIMETHOPRIM,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TRIMETHOPRIM,2,1,0,0,0,1,GCA_050506875.1,0,,0,,0,,0,
Bacteraemia,GCA_050506885.1.,13,1,GCA_050506885.1,AMINOGLYCOSIDE; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM; QUINOLONE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUATERNARY AMMONIUM; QUINOLONE; VANCOMYCIN,6,5,0,2,0,1,GCA_050506885.1,0,,1,GCA_050506885.1,1,GCA_050506885.1,0,
Bacteraemia,GCA_050506905.1.,13,1,GCA_050506905.1,AMINOGLYCOSIDE; GLYCOPEPTIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; TETRACYCLINE; VANCOMYCIN,7,3,1,2,0,1,GCA_050506905.1,1,GCA_050506905.1,1,GCA_050506905.1,1,GCA_050506905.1,0,
Bacteraemia,GCA_050506915.1.,2,1,GCA_050506915.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,1,1,0,0,0,1,GCA_050506915.1,0,,0,,0,,0,
Bacteraemia,GCA_050506925.1.,2,1,GCA_050506925.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,1,1,0,0,0,1,GCA_050506925.1,0,,0,,0,,0,
Bacteraemia,GCA_050506935.1.,2,1,GCA_050506935.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,1,1,0,0,0,1,GCA_050506935.1,0,,0,,0,,0,
Bacteraemia,GCA_050506985.1.,2,1,GCA_050506985.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,1,1,0,0,0,1,GCA_050506985.1,0,,0,,0,,0,
Bacteraemia,GCA_050506995.1.,2,1,GCA_050506995.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050506995.1,1,GCA_050506995.1,0,,0,,0,
Bacteraemia,GCA_050507065.1.,2,1,GCA_050507065.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_050507065.1,1,GCA_050507065.1,0,,0,,0,
Bacteraemia,GCA_050507075.1.,12,1,GCA_050507075.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,10,0,0,2,0,1,GCA_050507075.1,1,GCA_050507075.1,1,GCA_050507075.1,1,GCA_050507075.1,0,
Bacteraemia,GCA_050507105.1.,12,1,GCA_050507105.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,10,0,0,2,0,1,GCA_050507105.1,1,GCA_050507105.1,1,GCA_050507105.1,1,GCA_050507105.1,0,
Bacteraemia,GCA_050516645.1.,11,1,GCA_050516645.1,ARSENIC; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL,ARSENITE; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN,3,8,0,0,0,1,GCA_050516645.1,0,,0,,0,,0,
Bacteraemia,GCA_050516655.1.,11,1,GCA_050516655.1,ARSENIC; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL,ARSENITE; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN,3,8,0,0,0,1,GCA_050516655.1,0,,0,,0,,0,
Bacteraemia,GCA_050516665.1.,7,1,GCA_050516665.1,AMINOGLYCOSIDE; COPPER; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; COPPER; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,5,2,0,0,0,1,GCA_050516665.1,1,GCA_050516665.1,1,GCA_050516665.1,0,,0,
Bacteraemia,GCA_050516675.1.,3,1,GCA_050516675.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,2,1,0,0,0,1,GCA_050516675.1,1,GCA_050516675.1,0,,0,,0,
Reproductive,amrfinder_all_14,92,14,GCA_029011255.1; GCA_029011395.1; GCA_029011535.1; GCA_029011745.1; GCF_049262565.1; GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,AMINOGLYCOSIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; OXAZOLIDINONE/PHENICOL; PHENICOL; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; AMINOGLYCOSIDE; CHLORAMPHENICOL; CHLORAMPHENICOL/FLORFENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; FLORFENICOL/OXAZOLIDINONE; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,57,17,14,4,0,14,GCA_029011255.1; GCA_029011395.1; GCA_029011535.1; GCA_029011745.1; GCF_049262565.1; GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,12,GCA_029011395.1; GCA_029011535.1; GCA_029011745.1; GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,9,GCF_053117575.1; GCF_053117585.1; GCF_053117655.1; GCF_053117665.1; GCF_053117675.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1; GCF_906464925.1,5,GCF_053117575.1; GCF_053117585.1; GCF_053117685.1; GCF_053117695.1; GCF_053117705.1,2,GCF_049262565.1; GCF_053117655.1
Reproductive,GCA_029011255.1.,1,1,GCA_029011255.1,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,0,1,0,0,0,1,GCA_029011255.1,0,,0,,0,,0,
Reproductive,GCA_029011395.1.,2,1,GCA_029011395.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,1,0,0,0,1,GCA_029011395.1,1,GCA_029011395.1,0,,0,,0,
Reproductive,GCA_029011535.1.,3,1,GCA_029011535.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,2,0,1,0,0,1,GCA_029011535.1,1,GCA_029011535.1,0,,0,,0,
Reproductive,GCA_029011745.1.,2,1,GCA_029011745.1,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,1,0,1,0,0,1,GCA_029011745.1,1,GCA_029011745.1,0,,0,,0,
Reproductive,GCF_049262565.1.,2,1,GCF_049262565.1,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN,2,0,0,0,0,1,GCF_049262565.1,0,,0,,0,,1,GCF_049262565.1
Reproductive,GCF_053117575.1.,9,1,GCF_053117575.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,6,1,2,0,0,1,GCF_053117575.1,1,GCF_053117575.1,1,GCF_053117575.1,1,GCF_053117575.1,0,
Reproductive,GCF_053117585.1.,8,1,GCF_053117585.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE; TRIMETHOPRIM,6,1,1,0,0,1,GCF_053117585.1,1,GCF_053117585.1,1,GCF_053117585.1,1,GCF_053117585.1,0,
Reproductive,GCF_053117655.1.,9,1,GCF_053117655.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; TETRACYCLINE,5,1,3,0,0,1,GCF_053117655.1,1,GCF_053117655.1,1,GCF_053117655.1,0,,1,GCF_053117655.1
Reproductive,GCF_053117665.1.,8,1,GCF_053117665.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,7,1,0,0,0,1,GCF_053117665.1,1,GCF_053117665.1,1,GCF_053117665.1,0,,0,
Reproductive,GCF_053117675.1.,16,1,GCF_053117675.1,AMINOGLYCOSIDE; LINCOSAMIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,AMIKACIN/KANAMYCIN; AMINOGLYCOSIDE; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE; TRIMETHOPRIM,10,2,2,2,0,1,GCF_053117675.1,1,GCF_053117675.1,1,GCF_053117675.1,0,,0,
Reproductive,GCF_053117685.1.,9,1,GCF_053117685.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,5,2,2,0,0,1,GCF_053117685.1,1,GCF_053117685.1,1,GCF_053117685.1,1,GCF_053117685.1,0,
Reproductive,GCF_053117695.1.,5,1,GCF_053117695.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; PHENICOL; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; CHLORAMPHENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; TETRACYCLINE,3,2,0,0,0,1,GCF_053117695.1,1,GCF_053117695.1,1,GCF_053117695.1,1,GCF_053117695.1,0,
Reproductive,GCF_053117705.1.,8,1,GCF_053117705.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; STREPTOTHRICIN; TETRACYCLINE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN; AMIKACIN/KANAMYCIN; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; LINCOSAMIDE/STREPTOGRAMIN; STREPTOMYCIN; STREPTOTHRICIN; TETRACYCLINE,5,1,2,0,0,1,GCF_053117705.1,1,GCF_053117705.1,1,GCF_053117705.1,1,GCF_053117705.1,0,
Reproductive,GCF_906464925.1.,10,1,GCF_906464925.1,AMINOGLYCOSIDE; LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN; LINCOSAMIDE/STREPTOGRAMIN; OXAZOLIDINONE/PHENICOL; PHENICOL; QUINOLONE; TETRACYCLINE,CHLORAMPHENICOL; CHLORAMPHENICOL/FLORFENICOL; CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B; FLORFENICOL/OXAZOLIDINONE; LINCOSAMIDE/STREPTOGRAMIN; QUINOLONE; STREPTOMYCIN; TETRACYCLINE,4,4,0,2,0,1,GCF_906464925.1,1,GCF_906464925.1,1,GCF_906464925.1,0,,0,
