Heatmap_variant	Dimension	Item_1	Item_2	Item_1_accession	Item_2_accession	Distance	Item_1_cluster_order	Item_2_cluster_order	Distance_method	Scaling_normalisation	Linkage_method
clustered	rows (strains)	5410	VSI19	GCF_053117585.1	GCA_029011535.1	0.8571428571428571	70	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5034	VSI19	GCF_053117655.1	GCA_029011535.1	0.8	49	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4953	VSI19	GCF_053117665.1	GCA_029011535.1	0.8333333333333334	51	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4774	VSI19	GCF_053117675.1	GCA_029011535.1	0.9230769230769231	45	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4638	VSI19	GCF_053117685.1	GCA_029011535.1	0.8333333333333334	55	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4153	VSI19	GCF_053117695.1	GCA_029011535.1	0.8	32	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	2819	VSI19	GCF_053117705.1	GCA_029011535.1	0.8333333333333334	54	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	BX5936	VSI19	GCF_906464925.1	GCA_029011535.1	0.875	72	33	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI48	VSI09	GCA_029011255.1	GCA_029011745.1	1	11	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI36	VSI09	GCA_029011395.1	GCA_029011745.1	0.5	25	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI19	VSI09	GCA_029011535.1	GCA_029011745.1	1	33	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI09	VSI09	GCA_029011745.1	GCA_029011745.1	0	1	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H820	VSI09	GCA_050469755.1	GCA_029011745.1	0.8333333333333334	59	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H815	VSI09	GCA_050471105.1	GCA_029011745.1	0.5	26	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1578	VSI09	GCA_050472745.1	GCA_029011745.1	0.9	66	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1577	VSI09	GCA_050472755.1	GCA_029011745.1	0.8571428571428571	71	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1555	VSI09	GCA_050473345.1	GCA_029011745.1	1	12	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1554	VSI09	GCA_050473355.1	GCA_029011745.1	0.5	24	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1539	VSI09	GCA_050473905.1	GCA_029011745.1	0.9090909090909091	62	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1473	VSI09	GCA_050474485.1	GCA_029011745.1	1	10	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1472	VSI09	GCA_050474495.1	GCA_029011745.1	0.8333333333333334	60	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1336	VSI09	GCA_050475565.1	GCA_029011745.1	0.8333333333333334	61	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1329	VSI09	GCA_050475575.1	GCA_029011745.1	0.75	31	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1321	VSI09	GCA_050476085.1	GCA_029011745.1	1	9	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8814	VSI09	GCA_050480515.1	GCA_029011745.1	0.5	23	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8810	VSI09	GCA_050481105.1	GCA_029011745.1	0.5	22	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2195	VSI09	GCA_050481115.1	GCA_029011745.1	0.5	21	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2194	VSI09	GCA_050481685.1	GCA_029011745.1	0.5	20	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1225	VSI09	GCA_050481695.1	GCA_029011745.1	0.9473684210526315	41	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1224	VSI09	GCA_050482265.1	GCA_029011745.1	0.9473684210526315	42	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8816	VSI09	GCA_050485045.1	GCA_029011745.1	0.9285714285714286	43	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8811	VSI09	GCA_050485055.1	GCA_029011745.1	0.9166666666666666	44	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2198	VSI09	GCA_050485625.1	GCA_029011745.1	0.9444444444444444	40	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2196	VSI09	GCA_050485635.1	GCA_029011745.1	0.9411764705882353	39	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1228	VSI09	GCA_050486705.1	GCA_029011745.1	0.875	48	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1226	VSI09	GCA_050486715.1	GCA_029011745.1	0.6666666666666666	14	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1576	VSI09	GCA_050491675.1	GCA_029011745.1	0.8888888888888888	52	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1574	VSI09	GCA_050491685.1	GCA_029011745.1	0.8888888888888888	53	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1552	VSI09	GCA_050492125.1	GCA_029011745.1	0.9	67	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1551	VSI09	GCA_050492135.1	GCA_029011745.1	0.9	65	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H797	VSI09	GCA_050505635.1	GCA_029011745.1	0.875	46	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H813	VSI09	GCA_050505645.1	GCA_029011745.1	0.875	47	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6489	VSI09	GCA_050506665.1	GCA_029011745.1	0.75	15	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6504	VSI09	GCA_050506675.1	GCA_029011745.1	0.75	16	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5882	VSI09	GCA_050506685.1	GCA_029011745.1	0.6666666666666666	29	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5881	VSI09	GCA_050506695.1	GCA_029011745.1	0.6666666666666666	30	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5874	VSI09	GCA_050506725.1	GCA_029011745.1	1	8	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5873	VSI09	GCA_050506735.1	GCA_029011745.1	1	7	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5846	VSI09	GCA_050506745.1	GCA_029011745.1	0.9230769230769231	68	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5844	VSI09	GCA_050506755.1	GCA_029011745.1	0.9	69	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6411	VSI09	GCA_050506765.1	GCA_029011745.1	0.6666666666666666	28	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6409	VSI09	GCA_050506775.1	GCA_029011745.1	1	6	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6391	VSI09	GCA_050506815.1	GCA_029011745.1	0.8333333333333334	57	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6389	VSI09	GCA_050506825.1	GCA_029011745.1	0.5	19	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6388	VSI09	GCA_050506865.1	GCA_029011745.1	0.8333333333333334	58	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6375	VSI09	GCA_050506875.1	GCA_029011745.1	1	13	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5858	VSI09	GCA_050506885.1	GCA_029011745.1	1	37	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5845	VSI09	GCA_050506905.1	GCA_029011745.1	0.9166666666666666	38	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1545	VSI09	GCA_050506915.1	GCA_029011745.1	1	5	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1544	VSI09	GCA_050506925.1	GCA_029011745.1	1	4	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1542	VSI09	GCA_050506935.1	GCA_029011745.1	1	3	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1538	VSI09	GCA_050506985.1	GCA_029011745.1	1	2	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1335	VSI09	GCA_050506995.1	GCA_029011745.1	0.5	18	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1337	VSI09	GCA_050507065.1	GCA_029011745.1	0.5	17	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1469	VSI09	GCA_050507075.1	GCA_029011745.1	0.9	64	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1468	VSI09	GCA_050507105.1	GCA_029011745.1	0.9	63	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5822	VSI09	GCA_050516645.1	GCA_029011745.1	1	35	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5819	VSI09	GCA_050516655.1	GCA_029011745.1	1	36	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6697	VSI09	GCA_050516665.1	GCA_029011745.1	0.8333333333333334	50	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6696	VSI09	GCA_050516675.1	GCA_029011745.1	0.6666666666666666	27	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	UMB6935B	VSI09	GCF_049262565.1	GCA_029011745.1	1	34	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5245	VSI09	GCF_053117575.1	GCA_029011745.1	0.8333333333333334	56	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5410	VSI09	GCF_053117585.1	GCA_029011745.1	0.8571428571428571	70	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	5034	VSI09	GCF_053117655.1	GCA_029011745.1	0.8	49	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4953	VSI09	GCF_053117665.1	GCA_029011745.1	0.8333333333333334	51	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4774	VSI09	GCF_053117675.1	GCA_029011745.1	0.9230769230769231	45	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4638	VSI09	GCF_053117685.1	GCA_029011745.1	0.8333333333333334	55	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	4153	VSI09	GCF_053117695.1	GCA_029011745.1	0.8	32	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	2819	VSI09	GCF_053117705.1	GCA_029011745.1	0.8333333333333334	54	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	BX5936	VSI09	GCF_906464925.1	GCA_029011745.1	0.875	72	1	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI48	H820	GCA_029011255.1	GCA_050469755.1	0.8333333333333334	11	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI36	H820	GCA_029011395.1	GCA_050469755.1	0.6666666666666666	25	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI19	H820	GCA_029011535.1	GCA_050469755.1	1	33	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	VSI09	H820	GCA_029011745.1	GCA_050469755.1	0.8333333333333334	1	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H820	H820	GCA_050469755.1	GCA_050469755.1	0	59	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H815	H820	GCA_050471105.1	GCA_050469755.1	0.6666666666666666	26	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1578	H820	GCA_050472745.1	GCA_050469755.1	0.4	66	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1577	H820	GCA_050472755.1	GCA_050469755.1	0.7	71	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1555	H820	GCA_050473345.1	GCA_050469755.1	0.8333333333333334	12	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1554	H820	GCA_050473355.1	GCA_050469755.1	0.6666666666666666	24	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1539	H820	GCA_050473905.1	GCA_050469755.1	0.45454545454545453	62	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1473	H820	GCA_050474485.1	GCA_050469755.1	0.8333333333333334	10	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1472	H820	GCA_050474495.1	GCA_050469755.1	0.2857142857142857	60	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1336	H820	GCA_050475565.1	GCA_050469755.1	0.2857142857142857	61	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1329	H820	GCA_050475575.1	GCA_050469755.1	0.5714285714285714	31	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1321	H820	GCA_050476085.1	GCA_050469755.1	0.8333333333333334	9	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8814	H820	GCA_050480515.1	GCA_050469755.1	0.6666666666666666	23	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8810	H820	GCA_050481105.1	GCA_050469755.1	0.6666666666666666	22	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2195	H820	GCA_050481115.1	GCA_050469755.1	0.6666666666666666	21	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2194	H820	GCA_050481685.1	GCA_050469755.1	0.6666666666666666	20	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1225	H820	GCA_050481695.1	GCA_050469755.1	0.6842105263157895	41	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1224	H820	GCA_050482265.1	GCA_050469755.1	0.6842105263157895	42	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8816	H820	GCA_050485045.1	GCA_050469755.1	0.5714285714285714	43	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C8811	H820	GCA_050485055.1	GCA_050469755.1	0.7142857142857143	44	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2198	H820	GCA_050485625.1	GCA_050469755.1	0.6666666666666666	40	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C2196	H820	GCA_050485635.1	GCA_050469755.1	0.7222222222222222	39	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1228	H820	GCA_050486705.1	GCA_050469755.1	0.8333333333333334	48	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1226	H820	GCA_050486715.1	GCA_050469755.1	0.7142857142857143	14	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1576	H820	GCA_050491675.1	GCA_050469755.1	0.6363636363636364	52	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1574	H820	GCA_050491685.1	GCA_050469755.1	0.6363636363636364	53	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1552	H820	GCA_050492125.1	GCA_050469755.1	0.4	67	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C1551	H820	GCA_050492135.1	GCA_050469755.1	0.4	65	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H797	H820	GCA_050505635.1	GCA_050469755.1	0.8333333333333334	46	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	H813	H820	GCA_050505645.1	GCA_050469755.1	0.8333333333333334	47	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6489	H820	GCA_050506665.1	GCA_050469755.1	0.75	15	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6504	H820	GCA_050506675.1	GCA_050469755.1	0.75	16	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5882	H820	GCA_050506685.1	GCA_050469755.1	0.7142857142857143	29	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5881	H820	GCA_050506695.1	GCA_050469755.1	0.7142857142857143	30	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5874	H820	GCA_050506725.1	GCA_050469755.1	0.8333333333333334	8	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5873	H820	GCA_050506735.1	GCA_050469755.1	0.8333333333333334	7	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5846	H820	GCA_050506745.1	GCA_050469755.1	0.5384615384615384	68	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5844	H820	GCA_050506755.1	GCA_050469755.1	0.4	69	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6411	H820	GCA_050506765.1	GCA_050469755.1	0.7142857142857143	28	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6409	H820	GCA_050506775.1	GCA_050469755.1	0.8333333333333334	6	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6391	H820	GCA_050506815.1	GCA_050469755.1	0.6666666666666666	57	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6389	H820	GCA_050506825.1	GCA_050469755.1	0.6666666666666666	19	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6388	H820	GCA_050506865.1	GCA_050469755.1	0.6666666666666666	58	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C6375	H820	GCA_050506875.1	GCA_050469755.1	0.875	13	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
clustered	rows (strains)	C5858	H820	GCA_050506885.1	GCA_050469755.1	0.7142857142857143	37	59	binary Jaccard; joint absences ignored; zero union defined as distance 0	none; raw accepted-detection presence/absence values (0/1)	average (UPGMA)
