Name,Protein id,Contig id,Start,Stop,Strand,Element symbol,Element name,Scope,Type,Subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference,% Identity to reference,Alignment length,Closest reference accession,Closest reference name,HMM accession,HMM description
GCF_053117705.1,,NZ_CP181238.1,1541149,1541943,-,ant(6)-Ia,aminoglycoside nucleotidyltransferase ANT(6)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,265,302,87.75,100.0,265,WP_001255866.1,aminoglycoside nucleotidyltransferase ANT(6)-Ia,,
GCF_053117705.1,,NZ_CP181238.1,1542116,1543552,-,aac(6')-Ie/aph(2'')-Ia,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,core,AMR,AMR,AMINOGLYCOSIDE,AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN,EXACTX,479,479,100.0,100.0,479,WP_001028144.1,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,,
GCF_053117705.1,,NZ_CP181238.1,2393210,2394703,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.0,498,WP_002398829.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_906464925.1,,NZ_OD940434.1,6617,9115,+,gyrA_S83I,Enterococcus faecalis quinolone resistant GyrA,core,AMR,POINT,QUINOLONE,QUINOLONE,POINTX,833,833,100.0,99.4,833,WP_033785346.1,DNA gyrase subunit A GyrA,,
GCF_906464925.1,,NZ_OD940434.1,1440627,1443086,-,parC_S80I,Enterococcus faecalis quinolone resistant ParC,core,AMR,POINT,QUINOLONE,QUINOLONE,POINTX,820,820,100.0,99.63,820,WP_002371880.1,DNA topoisomerase IV subunit A ParC,,
GCF_906464925.1,,NZ_OD940434.1,2268638,2270131,-,lsa(A),ABC-F type ribosomal protection protein Lsa(A),core,AMR,AMR,LINCOSAMIDE/STREPTOGRAMIN,LINCOSAMIDE/STREPTOGRAMIN,BLASTX,498,498,100.0,99.4,498,WP_002387187.1,ABC-F type ribosomal protection protein Lsa(A),,
GCF_906464925.1,,NZ_OD940435.1,47823,49247,+,fexA,chloramphenicol/florfenicol efflux MFS transporter FexA,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL/FLORFENICOL,BLASTX,475,475,100.0,98.95,475,WP_032491576.1,chloramphenicol/florfenicol efflux MFS transporter FexA,,
GCF_906464925.1,,NZ_OD940435.1,49944,51902,+,optrA,ABC-F type ribosomal protection protein OptrA,core,AMR,AMR,OXAZOLIDINONE/PHENICOL,FLORFENICOL/OXAZOLIDINONE,BLASTX,653,655,99.69,100.0,653,WP_063854496.1,ABC-F type ribosomal protection protein OptrA,,
GCF_906464925.1,,NZ_OD940436.1,5812,6456,-,catA,type A-8 chloramphenicol O-acetyltransferase,core,AMR,AMR,PHENICOL,CHLORAMPHENICOL,BLASTX,215,215,100.0,97.21,215,WP_002352254.1,type A-8 chloramphenicol O-acetyltransferase,,
GCF_906464925.1,,NZ_OD940436.1,7501,8874,-,tet(L),tetracycline efflux MFS transporter Tet(L),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,458,458,100.0,100.0,458,WP_001574277.1,tetracycline efflux MFS transporter Tet(L),,
GCF_906464925.1,,NZ_OD940436.1,9071,10987,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100.0,100.0,639,WP_001574275.1,tetracycline resistance ribosomal protection protein Tet(M),,
GCF_906464925.1,,NZ_OD940436.1,37506,38351,+,str,streptomycin adenylyltransferase Str,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,282,282,100.0,100.0,282,WP_001258486.1,streptomycin adenylyltransferase Str,,
GCF_906464925.1,,NZ_OD940436.1,48615,49349,-,erm(B),23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),core,AMR,AMR,LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN,CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B,EXACTX,245,245,100.0,100.0,245,WP_001038795.1,23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B),,
