genome_accession	source	ST	BioProject	AMR_gene	AMR_class	AMR_plot_class	AMRFinderPlus_contig_ID	replicon_accession	replicon_description	localisation_classification	evidence_used	replicon_length_bp	replicon_role	sequence_report_path	AMRFinderPlus_raw_record_ID
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	vanS-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174916.1	CP174916.1	unnamed3	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	32284	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:12
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	vanX-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174916.1	CP174916.1	unnamed3	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	32284	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:15
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	vanY-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174916.1	CP174916.1	unnamed3	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	32284	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:16
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	vanZ-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174916.1	CP174916.1	unnamed3	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	32284	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:17
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	ant(6)-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP174917.1	CP174917.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	66291	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:20
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	aph(3')-IIIa	AMINOGLYCOSIDE	Aminoglycoside	CP174917.1	CP174917.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	66291	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:22
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP174917.1	CP174917.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	66291	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:19
GCA_050482265.1	Bacteraemia	6	PRJNA1185791	sat4	STREPTOTHRICIN	Other	CP174917.1	CP174917.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	66291	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050482265.1/sequence_report.jsonl	GCA_050482265.1:21
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	aadD1	AMINOGLYCOSIDE	Aminoglycoside	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:4
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanA	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:9
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanH-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:8
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanR-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:6
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanS-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:7
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanX-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:1
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanY-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:2
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	vanZ-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174866.1	CP174866.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:3
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:14
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:11
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:12
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	gyrA_S83I	QUINOLONE	Other	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:15
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:10
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	parC_S80I	QUINOLONE	Other	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:13
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:16
GCA_050485045.1	Bacteraemia	6	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP174869.1	CP174869.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3260673	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485045.1/sequence_report.jsonl	GCA_050485045.1:17
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	aadD1	AMINOGLYCOSIDE	Aminoglycoside	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:7
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanA	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:3
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanH-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:2
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanR-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:9
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanS-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:1
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanX-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:4
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanY-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:5
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	vanZ-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174863.1	CP174863.1	unnamed4	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	27754	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:6
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP174864.1	CP174864.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3241590	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:10
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP174864.1	CP174864.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3241590	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:11
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	dfrF	TRIMETHOPRIM	Other	CP174864.1	CP174864.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3241590	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:12
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	lsa(A)	LINCOSAMIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP174864.1	CP174864.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3241590	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:13
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP174864.1	CP174864.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3241590	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:14
GCA_050485055.1	Bacteraemia	16	PRJNA1185791	tet(M)	TETRACYCLINE	Tetracycline	CP174864.1	CP174864.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3241590	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485055.1/sequence_report.jsonl	GCA_050485055.1:15
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	ant(6)-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP174857.1	CP174857.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	65719	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:3
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	aph(3')-IIIa	AMINOGLYCOSIDE	Aminoglycoside	CP174857.1	CP174857.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	65719	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:1
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	erm(B)	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	Macrolide/lincosamide	CP174857.1	CP174857.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	65719	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:4
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	sat4	STREPTOTHRICIN	Other	CP174857.1	CP174857.1	unnamed1	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	65719	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:2
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	aadD1	AMINOGLYCOSIDE	Aminoglycoside	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:13
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanA	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:9
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanH-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:8
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanR-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:6
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanS-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:7
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanX-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:10
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanY-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:11
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	vanZ-A	GLYCOPEPTIDE	Vancomycin/glycopeptide	CP174858.1	CP174858.1	unnamed2	Plasmid	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Plasmid	28345	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:12
GCA_050485625.1	Bacteraemia	6	PRJNA1185791	aac(6')-Ie/aph(2'')-Ia	AMINOGLYCOSIDE	Aminoglycoside	CP174859.1	CP174859.1	chromosome	Chromosome	Accepted AMRFinderPlus hit (Functional_matrix_status=included_in_functional_presence); exact contig-accession match to NCBI Datasets sequence_report.jsonl; assignedMoleculeLocationType=Chromosome	3276744	assembled-molecule	local_archive/large_outputs/Efaecalis_58_AMRFinder/01_ncbi_download/efaecalis_genomes/ncbi_dataset/data/GCA_050485625.1/sequence_report.jsonl	GCA_050485625.1:18
