Genome_1,Genome_2,AMR_Jaccard_distance,AMR_Jaccard_similarity,Nine_locus_patristic_distance,ST_pair_evaluable,ST_relationship,Source_relationship,Study_relationship
GCA_050506775.1,GCA_050506875.1,0.6666666666666667,0.33333333333333326,0.0166109189,FALSE,ST comparison unavailable,Same source,Same study
GCA_029011535.1,GCA_050506915.1,1,0,1.9151160000000002e-4,TRUE,Same ST,Different source,Different study
GCA_029011535.1,GCA_050506985.1,1,0,1.9151160000000002e-4,TRUE,Same ST,Different source,Different study
GCA_029011535.1,GCA_050506935.1,1,0,1.9151160000000002e-4,TRUE,Same ST,Different source,Different study
GCA_029011535.1,GCA_050506925.1,1,0,1.9151160000000002e-4,TRUE,Same ST,Different source,Different study
GCA_029011535.1,GCA_050476085.1,1,0,0.003047156,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050473355.1,1,0,0.0036264515000000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050473345.1,1,0,0.004008218700000001,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_049262565.1,0.6666666666666667,0.33333333333333326,0.0066546041,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050474485.1,1,0,0.0074929705000000004,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050485635.1,0.9473684210526316,0.05263157894736836,0.0090169086,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011535.1,GCA_050469755.1,1,0,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050507105.1,0.9090909090909091,0.09090909090909094,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050481695.1,0.95,0.050000000000000044,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050473905.1,0.9166666666666666,0.08333333333333337,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050507075.1,0.9090909090909091,0.09090909090909094,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050482265.1,0.95,0.050000000000000044,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050492135.1,0.9090909090909091,0.09090909090909094,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050492125.1,0.9090909090909091,0.09090909090909094,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506745.1,0.9444444444444444,0.05555555555555558,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506755.1,0.9333333333333333,0.06666666666666665,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050485045.1,1,0,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050472745.1,0.9090909090909091,0.09090909090909094,0.013009972599999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050485625.1,0.9473684210526316,0.05263157894736836,0.013102254899999999,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506885.1,0.9230769230769231,0.07692307692307687,0.0161312069,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050474495.1,0.8571428571428572,0.1428571428571428,0.0168851079,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506905.1,0.9230769230769231,0.07692307692307687,0.0168851079,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117695.1,0.8333333333333334,0.16666666666666663,0.0158434869,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050471105.1,1,0,0.0158799297,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050481115.1,1,0,0.0158799297,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050481685.1,1,0,0.0158799297,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050481105.1,1,0,0.0158799297,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050480515.1,1,0,0.015881375099999998,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050486705.1,0.8888888888888888,0.11111111111111116,0.015788347799999998,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506725.1,1,0,0.015884783499999996,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506735.1,1,0,0.015884783499999996,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117665.1,0.8571428571428572,0.1428571428571428,0.015979396599999994,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050506765.1,0.75,0.25,0.017259618499999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506825.1,1,0,0.0171659084,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050516645.1,0.75,0.25,0.017944587699999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050516655.1,0.75,0.25,0.017944587699999997,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050475575.1,0.8,0.19999999999999996,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117685.1,0.8571428571428572,0.1428571428571428,0.018484100500000003,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCF_053117705.1,0.8571428571428572,0.1428571428571428,0.018484100500000003,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050506695.1,0.75,0.25,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506815.1,0.8571428571428572,0.1428571428571428,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050516665.1,0.8571428571428572,0.1428571428571428,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050507065.1,1,0,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117575.1,0.8571428571428572,0.1428571428571428,0.018484100500000003,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050506995.1,1,0,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117655.1,0.8333333333333334,0.16666666666666663,0.018484100500000003,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050506685.1,0.75,0.25,0.018484100500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050516675.1,0.75,0.25,0.0185740687,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050485055.1,1,0,0.017122438500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506675.1,0.8,0.19999999999999996,0.017122438500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117585.1,0.875,0.125,0.017122438500000003,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050506865.1,0.8571428571428572,0.1428571428571428,0.017122438500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506665.1,0.8,0.19999999999999996,0.017122438500000003,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050505635.1,0.8888888888888888,0.11111111111111116,0.0172150413,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050505645.1,0.8888888888888888,0.11111111111111116,0.0172150359,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050486715.1,1,0,0.0172115218,FALSE,ST comparison unavailable,Different source,Different study
GCA_029011535.1,GCA_050491675.1,0.9,0.09999999999999998,0.018293078500000004,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050491685.1,0.9,0.09999999999999998,0.018293078500000004,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCF_053117675.1,0.9285714285714286,0.0714285714285714,0.018199550600000003,TRUE,Different ST,Same source,Different study
GCA_029011535.1,GCA_050472755.1,0.875,0.125,0.0202595472,TRUE,Different ST,Different source,Different study
GCA_029011535.1,GCA_050506875.1,0.75,0.25,0.022962605400000006,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050506985.1,0,1,0,TRUE,Same ST,Same source,Same study
GCA_050506915.1,GCA_050506935.1,0,1,0,TRUE,Same ST,Same source,Same study
GCA_050506915.1,GCA_050506925.1,0,1,2e-6,TRUE,Same ST,Same source,Same study
GCA_050506915.1,GCA_050476085.1,0,1,0.003051729,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050473355.1,0.5,0.5,0.0036310245000000002,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050473345.1,0,1,0.004012791700000001,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_049262565.1,0.5,0.5,0.0066591771,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050474485.1,0,1,0.0074975435,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050485635.1,0.9444444444444444,0.05555555555555558,0.0090214816,FALSE,ST comparison unavailable,Same source,Same study
GCA_050506915.1,GCA_050469755.1,0.8333333333333334,0.16666666666666663,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050507105.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050481695.1,0.9473684210526316,0.05263157894736836,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050473905.1,0.9090909090909091,0.09090909090909094,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050507075.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050482265.1,0.9473684210526316,0.05263157894736836,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050492135.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050492125.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506745.1,0.9411764705882353,0.05882352941176472,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506755.1,0.9285714285714286,0.0714285714285714,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050485045.1,0.9285714285714286,0.0714285714285714,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050472745.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050485625.1,0.9444444444444444,0.05555555555555558,0.0131068279,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506885.1,0.9166666666666666,0.08333333333333337,0.0161357799,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050474495.1,0.8333333333333334,0.16666666666666663,0.016889680900000002,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506905.1,0.9166666666666666,0.08333333333333337,0.016889680900000002,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117695.1,0.8,0.19999999999999996,0.0158480599,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050471105.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050481115.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050481685.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050481105.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050480515.1,0.5,0.5,0.0158859481,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050486705.1,0.875,0.125,0.0157929208,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506725.1,0,1,0.015889356499999997,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506735.1,0,1,0.015889356499999997,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117665.1,0.8333333333333334,0.16666666666666663,0.015983969599999995,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050506765.1,0.6666666666666667,0.33333333333333326,0.017264191499999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506825.1,0.5,0.5,0.0171704814,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050516645.1,0.6666666666666667,0.33333333333333326,0.017949160699999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050516655.1,0.6666666666666667,0.33333333333333326,0.017949160699999998,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050475575.1,0.75,0.25,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117685.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCF_053117705.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050506695.1,0.6666666666666667,0.33333333333333326,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506815.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050516665.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050507065.1,0.5,0.5,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117575.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050506995.1,0.5,0.5,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117655.1,0.8,0.19999999999999996,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050506685.1,0.6666666666666667,0.33333333333333326,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050516675.1,0.6666666666666667,0.33333333333333326,0.018578641700000002,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050485055.1,0.9166666666666666,0.08333333333333337,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506675.1,0.75,0.25,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117585.1,0.8571428571428572,0.1428571428571428,0.017127011500000004,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050506865.1,0.8333333333333334,0.16666666666666663,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506665.1,0.75,0.25,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050505635.1,0.875,0.125,0.0172196143,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050505645.1,0.875,0.125,0.017219608900000002,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050486715.1,0.6666666666666667,0.33333333333333326,0.0172160948,FALSE,ST comparison unavailable,Same source,Same study
GCA_050506915.1,GCA_050491675.1,0.8888888888888888,0.11111111111111116,0.018297651500000005,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050491685.1,0.8888888888888888,0.11111111111111116,0.018297651500000005,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCF_053117675.1,0.9230769230769231,0.07692307692307687,0.018204123600000004,TRUE,Different ST,Different source,Different study
GCA_050506915.1,GCA_050472755.1,0.8571428571428572,0.1428571428571428,0.0202641202,TRUE,Different ST,Same source,Same study
GCA_050506915.1,GCA_050506875.1,0.6666666666666667,0.33333333333333326,0.022967178400000007,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506935.1,0,1,0,TRUE,Same ST,Same source,Same study
GCA_050506985.1,GCA_050506925.1,0,1,2e-6,TRUE,Same ST,Same source,Same study
GCA_050506985.1,GCA_050476085.1,0,1,0.003051729,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050473355.1,0.5,0.5,0.0036310245000000002,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050473345.1,0,1,0.004012791700000001,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_049262565.1,0.5,0.5,0.0066591771,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050474485.1,0,1,0.0074975435,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050485635.1,0.9444444444444444,0.05555555555555558,0.0090214816,FALSE,ST comparison unavailable,Same source,Same study
GCA_050506985.1,GCA_050469755.1,0.8333333333333334,0.16666666666666663,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050507105.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050481695.1,0.9473684210526316,0.05263157894736836,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050473905.1,0.9090909090909091,0.09090909090909094,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050507075.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050482265.1,0.9473684210526316,0.05263157894736836,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050492135.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050492125.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506745.1,0.9411764705882353,0.05882352941176472,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506755.1,0.9285714285714286,0.0714285714285714,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050485045.1,0.9285714285714286,0.0714285714285714,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050472745.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050485625.1,0.9444444444444444,0.05555555555555558,0.0131068279,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506885.1,0.9166666666666666,0.08333333333333337,0.0161357799,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050474495.1,0.8333333333333334,0.16666666666666663,0.016889680900000002,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506905.1,0.9166666666666666,0.08333333333333337,0.016889680900000002,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117695.1,0.8,0.19999999999999996,0.0158480599,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050471105.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050481115.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050481685.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050481105.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050480515.1,0.5,0.5,0.0158859481,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050486705.1,0.875,0.125,0.0157929208,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506725.1,0,1,0.015889356499999997,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506735.1,0,1,0.015889356499999997,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117665.1,0.8333333333333334,0.16666666666666663,0.015983969599999995,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050506765.1,0.6666666666666667,0.33333333333333326,0.017264191499999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506825.1,0.5,0.5,0.0171704814,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050516645.1,0.6666666666666667,0.33333333333333326,0.017949160699999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050516655.1,0.6666666666666667,0.33333333333333326,0.017949160699999998,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050475575.1,0.75,0.25,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117685.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCF_053117705.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050506695.1,0.6666666666666667,0.33333333333333326,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506815.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050516665.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050507065.1,0.5,0.5,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117575.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050506995.1,0.5,0.5,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117655.1,0.8,0.19999999999999996,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050506685.1,0.6666666666666667,0.33333333333333326,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050516675.1,0.6666666666666667,0.33333333333333326,0.018578641700000002,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050485055.1,0.9166666666666666,0.08333333333333337,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506675.1,0.75,0.25,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117585.1,0.8571428571428572,0.1428571428571428,0.017127011500000004,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050506865.1,0.8333333333333334,0.16666666666666663,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506665.1,0.75,0.25,0.017127011500000004,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050505635.1,0.875,0.125,0.0172196143,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050505645.1,0.875,0.125,0.017219608900000002,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050486715.1,0.6666666666666667,0.33333333333333326,0.0172160948,FALSE,ST comparison unavailable,Same source,Same study
GCA_050506985.1,GCA_050491675.1,0.8888888888888888,0.11111111111111116,0.018297651500000005,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050491685.1,0.8888888888888888,0.11111111111111116,0.018297651500000005,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCF_053117675.1,0.9230769230769231,0.07692307692307687,0.018204123600000004,TRUE,Different ST,Different source,Different study
GCA_050506985.1,GCA_050472755.1,0.8571428571428572,0.1428571428571428,0.0202641202,TRUE,Different ST,Same source,Same study
GCA_050506985.1,GCA_050506875.1,0.6666666666666667,0.33333333333333326,0.022967178400000007,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506925.1,0,1,2e-6,TRUE,Same ST,Same source,Same study
GCA_050506935.1,GCA_050476085.1,0,1,0.003051729,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050473355.1,0.5,0.5,0.0036310245000000002,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050473345.1,0,1,0.004012791700000001,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCF_049262565.1,0.5,0.5,0.0066591771,TRUE,Different ST,Different source,Different study
GCA_050506935.1,GCA_050474485.1,0,1,0.0074975435,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050485635.1,0.9444444444444444,0.05555555555555558,0.0090214816,FALSE,ST comparison unavailable,Same source,Same study
GCA_050506935.1,GCA_050469755.1,0.8333333333333334,0.16666666666666663,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050507105.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050481695.1,0.9473684210526316,0.05263157894736836,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050473905.1,0.9090909090909091,0.09090909090909094,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050507075.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050482265.1,0.9473684210526316,0.05263157894736836,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050492135.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050492125.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506745.1,0.9411764705882353,0.05882352941176472,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506755.1,0.9285714285714286,0.0714285714285714,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050485045.1,0.9285714285714286,0.0714285714285714,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050472745.1,0.9,0.09999999999999998,0.013014545599999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050485625.1,0.9444444444444444,0.05555555555555558,0.0131068279,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506885.1,0.9166666666666666,0.08333333333333337,0.0161357799,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050474495.1,0.8333333333333334,0.16666666666666663,0.016889680900000002,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506905.1,0.9166666666666666,0.08333333333333337,0.016889680900000002,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCF_053117695.1,0.8,0.19999999999999996,0.0158480599,TRUE,Different ST,Different source,Different study
GCA_050506935.1,GCA_050471105.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050481115.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050481685.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050481105.1,0.5,0.5,0.0158845027,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050480515.1,0.5,0.5,0.0158859481,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050486705.1,0.875,0.125,0.0157929208,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506725.1,0,1,0.015889356499999997,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506735.1,0,1,0.015889356499999997,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCF_053117665.1,0.8333333333333334,0.16666666666666663,0.015983969599999995,TRUE,Different ST,Different source,Different study
GCA_050506935.1,GCA_050506765.1,0.6666666666666667,0.33333333333333326,0.017264191499999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050506825.1,0.5,0.5,0.0171704814,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050516645.1,0.6666666666666667,0.33333333333333326,0.017949160699999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050516655.1,0.6666666666666667,0.33333333333333326,0.017949160699999998,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCA_050475575.1,0.75,0.25,0.018488673500000004,TRUE,Different ST,Same source,Same study
GCA_050506935.1,GCF_053117685.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506935.1,GCF_053117705.1,0.8333333333333334,0.16666666666666663,0.018488673500000004,TRUE,Different ST,Different source,Different study
GCA_050506935.1,GCA_050506695.1,0.6666666666666667,0.33333333333333326,0.018488673500000004,TRUE,Different ST,Same source,Same study
