Genome,Source,Study_ID,Study_title,Associated_publication,Country,Year,gdh,gyd,pstS,gki,aroE,xpt,yqiL,Allele_profile,Dataset_profile,Dataset_profile_complete,MLST_status,MLST_status_reason,ST,PubMLST_CC_if_officially_available,HLGR_proxy,Other_aminoglycoside_genes,AMR_burden
GCA_050507105.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,12,7,3,7,6,1,5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,gdh12-gyd7-pstS3-gki7-aroE6-xpt1-yqiL5,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,6,NA,HLGR-associated genotype proxy detected,ant(6)-Ia; aph(3')-IIIa,10
GCA_050516645.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,27,6,23,12,9,10,7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,220,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050516655.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,27,6,23,12,9,10,7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh27-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,220,NA,HLGR-associated genotype proxy not detected,None detected,3
GCA_050516665.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; aph(3')-IIIa,6
GCA_050516675.1,Bacteraemia,PRJNA1185791,Enterococcus faecium and Enterococcus faecalis hybrid assemblies,https://pubmed.ncbi.nlm.nih.gov/40236068/,USA,NA,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,None detected,3
GCF_049262565.1,Reproductive,PRJNA316969,Female Urinary Microbiota Genome Sequencing,"Putonti C et al., ""Genome Investigation of Urinary Gardnerella Strains and Their Relationship to Isolates of the Vaginal Microbiota."", mSphere, 2021 May 12;6(3) Hilt EE et al., ""Aerococcus urinae Isolated from Women with Lower Urinary Tract Symptoms: In Vitro Aggregation and Genome Analysis."", J Bacteriol, 2020 Jun 9;202(13) Meler J et al., ""Pharmaceutical interaction of lidocaine hydrochloride and sodium carboxymethylcellulose in ""hydrocortisonum"" suspension."", Pharmazie, 1990 Sep;45(9):692-3",USA,2016,7,1,11,1,10,2,1,gdh7-gyd1-pstS11-gki1-aroE10-xpt2-yqiL1,gdh7-gyd1-pstS11-gki1-aroE10-xpt2-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,30,NA,HLGR-associated genotype proxy not detected,None detected,2
GCF_053117575.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2012,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,6
GCF_053117585.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2012,5,1,1,3,7,7,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt7-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,16,NA,HLGR-associated genotype proxy detected,str,7
GCF_053117655.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2012,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; aph(3')-IIIa,5
GCF_053117665.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2012,3,6,23,12,9,10,7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,gdh3-gyd6-pstS23-gki12-aroE9-xpt10-yqiL7,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,40,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; aph(3')-IIIa,6
GCF_053117675.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2011,1,1,22,22,7,17,6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,gdh1-gyd1-pstS22-gki22-aroE7-xpt17-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,480,NA,HLGR-associated genotype proxy not detected,ant(6)-Ia; aph(3')-IIIa; spw,13
GCF_053117685.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2011,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,6
GCF_053117695.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2011,4,1,48,21,1,2,4,gdh4-gyd1-pstS48-gki21-aroE1-xpt2-yqiL4,gdh4-gyd1-pstS48-gki21-aroE1-xpt2-yqiL4,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,211,NA,HLGR-associated genotype proxy detected,None detected,5
GCF_053117705.1,Reproductive,PRJNA1209846,Sequencing of infertility-associated Enterococcus faecalis isolates,NA,Italy,2009,5,1,1,3,7,1,6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,gdh5-gyd1-pstS1-gki3-aroE7-xpt1-yqiL6,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,179,NA,HLGR-associated genotype proxy detected,aph(3')-IIIa,6
GCF_906464925.1,Reproductive,PRJEB36950,Hybrid assembly of optrA Positive Enterococcus faecalis,https://pubmed.ncbi.nlm.nih.gov/35130141/,United Kingdom,2017,1,1,92,3,14,17,1,gdh1-gyd1-pstS92-gki3-aroE14-xpt17-yqiL1,gdh1-gyd1-pstS92-gki3-aroE14-xpt17-yqiL1,TRUE,Assigned,Exact seven-locus profile matched one official PubMLST ST,894,NA,HLGR-associated genotype proxy not detected,str,10
